date,index
2020-09-26,88.22416365323785
2020-09-27,63.0159172551146
2020-09-28,84.83128035602782
2020-09-29,68.44037619502107
2020-09-30,68.03843728603334
2020-10-01,69.71618993893827
2020-10-02,50.82118257803736
2020-10-03,79.58965929439137
2020-10-04,50.48045312183383
2020-10-05,55.453980683198395
2020-10-06,72.530372265325
2020-10-07,89.99972557337239
2020-10-08,52.125078444321694
2020-10-09,83.07760937009392
2020-10-10,67.24764484198614
2020-10-11,58.74718896239473
2020-10-12,79.06752336433026
2020-10-13,57.35354611453147
2020-10-14,81.74410177013343
2020-10-15,79.51868051252006
2020-10-16,85.44078478770469
2020-10-17,46.77756141556709
2020-10-18,66.35815674350314
2020-10-19,74.32209442997902
2020-10-20,48.736271254338185
2020-10-21,93.27947701679014
2020-10-22,76.95273742515342
