date,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
2020-05-02,89.19190097041303,70.68831172860669,88.05811427475037,80.72328360045337,3.1985268421514657,87.54566233613504,14285.397993356222,4.791756356783138,32.10475651993082,13838.961801070393,44.926977541284366,48.545652203850096,38.57381600463322,101.90045848703292,79.67819170299349
2020-05-03,86.25175157586602,102.21088285255446,80.44567600823427,77.90038639183167,3.133105015808568,56.27497149363126,80.44829058847503,0.0160571989855904,29.502912378534987,13817.325722785768,28.954863415289704,72.90280979697881,38.70797954354953,77.01428628526196,59.021091388213975
2020-05-04,83.58073203146536,72.26980443753982,74.13897566684213,67.3983265887178,3.070403553836783,51.92238581368327,0.0101010608138289,23742.62131618185,37.914796025107655,7013.063775154563,39.94023487711813,43.41889391642918,43.53350871728407,79.32874623067552,79.79354406376449
2020-05-05,51.359785716998495,79.57879218498964,72.20501416928025,66.18587170175171,3.010200201193095,65.539173542206,0.0100229256314564,0.0152547759743432,35.08876413794649,8375.892619039274,52.26966664187367,82.43726703199722,32.07357537787728,69.10858027770318,100.4575973853282
2020-05-06,49.273167103153526,65.76157790596243,85.5801672868066,70.35917937967591,0.0146972289494189,95.50887426947344,0.0099483951303273,25645.93194480508,29.48393610390965,9073.7330399752,30.799635294654895,73.20102758796006,32.34209349449386,100.00262212330225,59.66120988779767
2020-05-07,45.21092166492976,65.42933519284995,61.70273643671175,68.23413393136838,2.896640953997027,71.05357123262087,3.150969623523788,18232.05373162752,80.87041963983722,9263.672618393626,69.77497104901268,40.14450709590984,50.84353841192655,102.23703168716688,69.41566947625867
2020-05-08,58.161424226710594,60.94516494150341,73.89499045888115,78.09541858039252,0.0142196974550876,81.05316527755075,0.009625540515837,18252.314159173093,72.91546079275146,5431.744089480029,69.77497104901268,53.24212731857845,40.64233824151551,106.35217312546088,63.91456931871842
2020-05-09,38.93711234636934,44.560979557841534,60.68140714694709,94.45405512798077,1.6825279560548447,87.98282260214411,0.0095689211600496,18271.40465921102,78.67188136619579,5796.858231898649,77.96779193043706,45.160358930309215,34.226167675819966,62.96358530284059,64.92222939319281
2020-05-10,37.01316182056021,43.46504102073875,63.13838191333446,55.164539012245584,0.0138384927746296,78.32835959866112,0.0095846636195846,0.0135521144945587,65.46473677963674,1.1387211419171617,48.49358799229552,36.202969955102766,31.229205091460333,59.221089808246994,60.10112289015204
2020-05-11,55.55781652677439,53.67820948435577,65.5098825169799,82.49542578092021,0.623795144524213,77.37447316121397,44.157941865453125,0.0135521144945587,74.9350313543523,6377.1216863213,61.4351304309273,61.38748125525311,40.76953777894522,68.24589117145483,74.0948582495957
2020-05-12,66.57890677745482,58.896626625694175,64.42894107726968,60.17086598714323,0.6130428197744638,87.20924465445044,59.22285117065181,0.013272775231098,67.79301446189409,4178.256558595539,48.451501506364224,68.4001071205823,77.0810837834144,68.32757490076683,72.5773815035698
2020-05-13,62.46637378654478,53.3939156582892,74.65132998764284,80.06835012168622,0.6025833203123849,37.97079134790499,0.0100330916653817,0.0130463751718062,35.295495896395416,4864.079023138038,52.52086067381833,68.16912301058657,27.03119036151255,66.4075599647044,76.95183532061303
2020-05-14,74.27586914422287,48.02247756962786,64.74975067824678,67.17139745444004,0.5925430308430794,39.31821350084876,6165.748532743164,0.0148730387804899,21.95857417851418,6271.163617504159,47.01917867918332,78.89482495491005,19.366963298276893,86.77168687132063,84.2600580561331
2020-05-15,75.37184775833484,69.43653267784232,71.17486669417862,73.32551267631727,0.0315932828595697,34.331623598864915,1.1664480933866743,0.0149327761044118,18.176923817322127,6586.351327759329,43.63311848937462,59.575585718296416,20.96774407233539,69.24206212401927,88.83688675577034
2020-05-16,92.67316996833412,65.12323348299837,62.74537894547435,93.93099054786128,0.0311347658745404,41.996595265230056,7344.484535405237,0.0145664893002065,17.94048472011681,8228.646361559466,44.30253102571574,52.76774139114929,20.258722823536512,77.21215852313682,79.98642224872575
2020-05-17,88.7084893177084,65.08669367255573,70.36952063517207,85.2869255745126,3331.074566318646,51.63108952759394,1.1292696957904418,0.0142138298369731,12.82272434953325,10229.164057291886,42.771879561614654,85.87860201151067,15.963676829612057,81.81403028185682,59.05322159137781
